round 1 secondBrain3 8 15 Resource17
round 2 secondBrain45 111 119 Resource17
round 5 secondBrain135 390 397 Resource17
round 4 secondBrain72 205 209 Resource17
round 2 secondBrain18 49 58 Resource17
round 1 secondBrain109 306 310 Resource17
round 3 secondBrain137 383 387 Resource17
round 0 secondBrain93 245 255 Resource17
round 4 secondBrain35 107 111 Resource17
round 3 secondBrain112 317 323 Resource17
round 0 secondBrain86 233 245 Resource17
round 2 secondBrain120 344 350 Resource17
round 4 secondBrain97 279 285 Resource17
round 2 secondBrain133 373 378 Resource17
round 0 secondBrain32 68 73 Resource17
round 4 secondBrain65 201 205 Resource17
round 3 secondBrain47 129 137 Resource17
round 3 secondBrain80 240 244 Resource17
round 4 secondBrain120 355 369 Resource17
round 2 secondBrain60 160 171 Resource17
round 1 secondBrain132 369 373 Resource17
round 3 secondBrain63 192 201 Resource17
round 2 secondBrain141 400 404 Resource17
round 2 secondBrain27 65 70 Resource17
round 2 secondBrain82 228 233 Resource17
round 2 secondBrain17 44 49 Resource17
round 6 secondBrain134 379 383 Resource17
round 2 secondBrain154 438 442 Resource17
round 2 secondBrain80 234 240 Resource17
round 1 secondBrain97 267 271 Resource17
round 2 secondBrain10 27 31 Resource17
round 6 secondBrain118 363 374 Resource17
round 4 secondBrain13 31 38 Resource17
round 4 secondBrain50 151 156 Resource17
round 4 secondBrain106 315 320 Resource17
round 1 secondBrain29 71 92 Resource17
round 5 secondBrain13 38 44 Resource17
round 3 secondBrain86 255 263 Resource17
round 6 secondBrain26 97 102 Resource17
round 1 secondBrain1 4 8 Resource17
round 5 secondBrain9 36 49 Resource17
round 0 secondBrain55 156 160 Resource17
round 3 secondBrain144 419 425 Resource17
round 4 secondBrain144 425 429 Resource17
round 2 secondBrain28 62 68 Resource17
round 6 secondBrain144 433 438 Resource17
round 2 secondBrain62 176 180 Resource18
round 1 secondBrain152 408 415 Resource18
round 2 secondBrain71 192 199 Resource18
round 2 secondBrain145 415 419 Resource18
round 3 secondBrain30 68 72 Resource18
round 2 secondBrain151 425 434 Resource18
round 2 secondBrain134 360 364 Resource18
round 2 secondBrain26 78 82 Resource18
round 5 secondBrain86 263 270 Resource18
round 2 secondBrain74 210 219 Resource18
round 2 secondBrain139 390 397 Resource18
round 3 secondBrain14 43 49 Resource18
round 2 secondBrain34 82 94 Resource18
round 2 secondBrain100 281 293 Resource18
round 1 secondBrain34 74 82 Resource18
round 0 secondBrain25 55 62 Resource18
round 5 secondBrain97 285 289 Resource18
round 0 secondBrain1 0 4 Resource18
round 3 secondBrain116 327 333 Resource18
round 5 secondBrain149 435 442 Resource18
round 0 secondBrain70 180 190 Resource18
round 0 secondBrain141 375 388 Resource18
round 6 secondBrain55 182 189 Resource18
round 2 secondBrain103 293 299 Resource18
round 0 secondBrain128 364 375 Resource18
round 1 secondBrain35 94 99 Resource18
round 1 secondBrain59 163 175 Resource18
round 2 secondBrain123 344 350 Resource18
round 4 secondBrain75 221 225 Resource18
round 2 secondBrain76 201 205 Resource18
round 5 secondBrain123 365 370 Resource18
round 6 secondBrain122 367 373 Resource18
round 4 secondBrain23 49 55 Resource18
round 2 secondBrain106 303 313 Resource18
round 4 secondBrain42 137 143 Resource18
round 6 secondBrain96 292 297 Resource18
round 1 secondBrain118 334 345 Resource18
round 1 secondBrain4 11 19 Resource18
round 3 secondBrain37 106 123 Resource18
round 1 secondBrain84 235 239 Resource18
round 0 secondBrain5 4 10 Resource18
round 1 secondBrain100 274 281 Resource18
round 2 secondBrain7 21 25 Resource18
round 1 secondBrain76 205 217 Resource18
round 1 secondBrain153 425 431 Resource18
round 2 secondBrain14 37 43 Resource18
round 1 secondBrain33 71 78 Resource19
round 1 secondBrain29 78 91 Resource19
round 3 secondBrain130 374 380 Resource19
round 3 secondBrain110 315 323 Resource19
round 5 secondBrain100 298 305 Resource19
round 3 secondBrain54 158 163 Resource19
round 2 secondBrain89 253 257 Resource19
round 3 secondBrain44 128 133 Resource19
round 3 secondBrain57 166 171 Resource19
round 1 secondBrain108 305 313 Resource19
round 3 secondBrain153 437 444 Resource19
round 0 secondBrain95 257 270 Resource19
round 3 secondBrain79 197 207 Resource19
round 3 secondBrain62 182 187 Resource19
round 1 secondBrain10 22 27 Resource19
round 2 secondBrain130 369 374 Resource19
round 3 secondBrain84 243 247 Resource19
round 1 secondBrain101 282 294 Resource19
round 0 secondBrain12 27 32 Resource19
round 4 secondBrain149 431 435 Resource19
round 1 secondBrain7 11 21 Resource19
round 3 secondBrain96 278 282 Resource19
round 4 secondBrain59 178 182 Resource19
round 2 secondBrain136 380 388 Resource19
round 1 secondBrain82 221 228 Resource19
round 6 secondBrain34 111 117 Resource19
round 3 secondBrain119 348 352 Resource19
round 5 secondBrain114 326 334 Resource19
round 5 secondBrain131 391 396 Resource19
round 1 secondBrain129 359 363 Resource19
round 5 secondBrain66 212 221 Resource19
round 3 secondBrain119 338 348 Resource19
round 5 secondBrain63 206 210 Resource19
round 0 secondBrain80 207 218 Resource19
round 5 secondBrain7 36 57 Resource19
round 3 secondBrain68 192 197 Resource19
round 2 secondBrain42 117 128 Resource19
round 2 secondBrain36 99 103 Resource19
round 5 secondBrain21 64 71 Resource19
round 1 secondBrain145 409 415 Resource19
round 3 secondBrain37 106 114 Resource13
round 4 secondBrain68 197 202 Resource13
round 3 secondBrain154 442 447 Resource13
round 1 secondBrain88 249 259 Resource13
round 1 secondBrain3 0 12 Resource13
round 3 secondBrain65 194 201 Resource13
round 1 secondBrain12 25 32 Resource13
round 1 secondBrain50 134 139 Resource13
round 4 secondBrain116 333 339 Resource13
round 1 secondBrain124 339 345 Resource13
round 5 secondBrain96 286 292 Resource13
round 6 secondBrain98 298 303 Resource13
round 0 secondBrain151 409 421 Resource13
round 1 secondBrain157 421 425 Resource13
round 0 secondBrain50 114 134 Resource13
round 0 secondBrain16 32 38 Resource13
round 3 secondBrain77 219 223 Resource13
round 1 secondBrain116 315 323 Resource13
round 3 secondBrain22 60 64 Resource13
round 3 secondBrain75 214 224 Resource13
round 2 secondBrain9 17 23 Resource13
round 2 secondBrain24 72 78 Resource13
round 4 secondBrain32 87 95 Resource13
round 5 secondBrain74 230 234 Resource13
round 3 secondBrain124 350 362 Resource13
round 4 secondBrain124 362 366 Resource13
round 0 secondBrain145 401 409 Resource13
round 5 secondBrain98 294 298 Resource13
round 1 secondBrain96 260 266 Resource13
round 0 secondBrain59 158 163 Resource13
round 3 secondBrain151 434 438 Resource13
round 2 secondBrain54 154 158 Resource13
round 0 secondBrain65 173 183 Resource13
round 2 secondBrain128 366 371 Resource13
round 6 secondBrain23 64 72 Resource13
round 5 secondBrain85 261 268 Resource13
round 1 secondBrain69 190 194 Resource13
round 3 secondBrain97 275 279 Resource13
round 3 secondBrain150 426 436 Resource13
round 1 secondBrain115 303 307 Resource13
round 1 secondBrain17 39 44 Resource13
round 2 secondBrain86 250 255 Resource13
round 3 secondBrain61 163 173 Resource13
round 4 secondBrain77 223 231 Resource13
round 6 secondBrain131 396 401 Resource13
round 2 secondBrain51 145 154 Resource13
round 1 secondBrain103 288 293 Resource13
round 4 secondBrain87 245 250 Resource14
round 2 secondBrain131 365 375 Resource14
round 3 secondBrain35 103 107 Resource14
round 3 secondBrain9 23 27 Resource14
round 6 secondBrain57 182 186 Resource14
